InstrumentID,ExchangeID,ProductID,ProductClass,UnderlyingExchangeID,UnderlyingInstrID,InstrumentID2,ExchangeID2,ProductID2,ProductClass2,UnderlyingExchangeID2,UnderlyingInstrID2,PriceTick,ExpireDate,Symbol
m1803-C-2700,DCE,m_o,Options,DCE,m1803,M1803-C-2700,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2700
m1803-C-2750,DCE,m_o,Options,DCE,m1803,M1803-C-2750,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2750
m1803-C-2800,DCE,m_o,Options,DCE,m1803,M1803-C-2800,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2800
m1803-C-2850,DCE,m_o,Options,DCE,m1803,M1803-C-2850,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2850
m1803-C-2900,DCE,m_o,Options,DCE,m1803,M1803-C-2900,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2900
m1803-C-2950,DCE,m_o,Options,DCE,m1803,M1803-C-2950,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-2950
m1803-C-3000,DCE,m_o,Options,DCE,m1803,M1803-C-3000,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-3000
m1803-C-3050,DCE,m_o,Options,DCE,m1803,M1803-C-3050,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-3050
m1803-C-3100,DCE,m_o,Options,DCE,m1803,M1803-C-3100,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-C-3100
m1803-P-2650,DCE,m_o,Options,DCE,m1803,M1803-P-2650,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-P-2650
m1803-P-2700,DCE,m_o,Options,DCE,m1803,M1803-P-2700,DCE,M_O,OPTIONS,DCE,M1803,0.5,20180215,DCE.M1803-P-2700
SR711C5800,CZCE,SR_O,Options,CZCE,SR711,SR711C5800,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711C5800
SR711P5800,CZCE,SR_O,Options,CZCE,SR711,SR711P5800,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711P5800
