InstrumentID,ExchangeID,ProductID,ProductClass,UnderlyingExchangeID,UnderlyingInstrID,InstrumentID2,ExchangeID2,ProductID2,ProductClass2,UnderlyingExchangeID2,UnderlyingInstrID2,PriceTick,ExpireDate,Symbol
SR707,CZCE,SR,Futures,CZCE,,SR707,CZCE,SR,FUTURES,CZCE,,1.0,20170714,CZCE.SR707
a1707,DCE,a,Futures,DCE,,A1707,DCE,A,FUTURES,DCE,,1.0,20170714,DCE.A1707
SR709C6200,CZCE,SR_O,Options,CZCE,SR709,SR709C6200,CZCE,SR_O,OPTIONS,CZCE,SR709,0.5,20170725,CZCE.SR709C6200
SR709P6200,CZCE,SR_O,Options,CZCE,SR709,SR709P6200,CZCE,SR_O,OPTIONS,CZCE,SR709,0.5,20170725,CZCE.SR709P6200
SR711C6200,CZCE,SR_O,Options,CZCE,SR711,SR711C6200,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711C6200
SR711P6200,CZCE,SR_O,Options,CZCE,SR711,SR711P6200,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711P6200
SR801C6300,CZCE,SR_O,Options,CZCE,SR801,SR801C6300,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C6300
SR801P6300,CZCE,SR_O,Options,CZCE,SR801,SR801P6300,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801P6300
SR803C6300,CZCE,SR_O,Options,CZCE,SR803,SR803C6300,CZCE,SR_O,OPTIONS,CZCE,SR803,0.5,20180125,CZCE.SR803C6300
SR803P6300,CZCE,SR_O,Options,CZCE,SR803,SR803P6300,CZCE,SR_O,OPTIONS,CZCE,SR803,0.5,20180125,CZCE.SR803P6300
SR805C6300,CZCE,SR_O,Options,CZCE,SR805,SR805C6300,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805C6300
